id_calle;flujo;;;Rangos;;Numero calles
329;20;;;;;
330;9;;;;;
331;126;;;;;
332;9;;;;;
333;3;;;;;
334;34;;;;;
335;9;;;;;
336;5;;;;;
337;4;;;;;
338;9;;;;;
339;22;;;;;
340;5;;;;;
341;6;;;;;
342;3;;;;;
343;13;;;;;
344;7;;;;;
345;51;;;;;
346;1;;;;;
347;16;;;;;
348;22;;;;;
349;16;;;;;
350;17;;;;;
351;4;;;;;
352;55;;;;;
353;7;;;;;
354;36;;;;;
355;46;;;;;
356;74;;;;;
357;4;;;;;
358;3;;;;;
359;25;;;;;
360;78;;;;;
361;19;;;;;
362;9;;;;;
363;23;;;;;
364;4;;;;;
365;581;;;;;
366;35;;;;;
367;8;;;;;
368;18;;;;;
369;354;;;;;
370;14;;;;;
371;15;;;;;
372;10;;;;;
373;41;;;;;
374;9;;;;;
375;7;;;;;
376;25;;;;;
377;17;;;;;
378;37;;;;;
379;90;;;;;
380;30;;;;;
381;30;;;;;
382;7;;;;;
383;87;;;;;
384;2;;;;;
385;11;;;;;
386;2;;;;;
387;2;;;;;
388;923;;;;;
389;5;;;;;
390;5;;;;;
391;1;;;;;
392;1;;;;;
393;1;;;;;
394;25;;;;;
395;26;;;;;
396;8;;;;;
397;18;;;;;
398;107;;;;;
399;115;;;;;
400;57;;;;;
401;39;;;;;
402;64;;;;;
403;19;;;;;
404;3;;;;;
405;65;;;;;
406;4;;;;;
407;9;;;;;
408;1;;;;;
409;24;;;;;
410;18;;;;;
411;10;;;;;
412;2;;;;;
413;14;;;;;
414;12;;;;;
415;19;;;;;
416;11;;;;;
417;28;;;;;
418;6;;;;;
419;6;;;;;
420;4;;;;;
421;20;;;;;
422;30;;;;;
423;15;;;;;
424;11;;;;;
425;1;;;;;
426;13;;;;;
427;9;;;;;
428;92;;;;;
429;20;;;;;
430;5;;;;;
431;7;;;;;
432;24;;;;;
433;7;;;;;
434;12;;;;;
435;1;;;;;
436;10;;;;;
437;7;;;;;
438;10;;;;;
439;2;;;;;
440;2;;;;;
441;14;;;;;
442;92;;;;;
443;52;;;;;
444;21;;;;;
445;90;;;;;
446;106;;;;;
447;3;;;;;
448;31;;;;;
449;3;;;;;
450;40;;;;;
451;17;;;;;
452;37;;;;;
453;62;;;;;
454;22;;;;;
455;139;;;;;
456;109;;;;;
457;98;;;;;
458;37;;;;;
459;194;;;;;
460;27;;;;;
461;140;;;;;
462;1601;;;;;
463;3162;;;;;
464;127;;;;;
465;71;;;;;
466;27;;;;;
467;58;;;;;
468;145;;;;;
469;40;;;;;
470;40;;;;;
471;137;;;;;
472;69;;;;;
473;79;;;;;
474;53;;;;;
475;6;;;;;
476;317;;;;;
477;88;;;;;
478;77;;;;;
479;29;;;;;
480;23;;;;;
481;58;;;;;
482;9;;;;;
483;83;;;;;
484;155;;;;;
485;76;;;;;
486;7;;;;;
487;19;;;;;
488;15;;;;;
489;59;;;;;
490;65;;;;;
491;34;;;;;
492;47;;;;;
493;7;;;;;
494;18;;;;;
495;213;;;;;
496;9;;;;;
497;38;;;;;
498;156;;;;;
499;41;;;;;
500;9;;;;;
501;9;;;;;
502;31;;;;;
503;23;;;;;
504;44;;;;;
505;22;;;;;
506;34;;;;;
507;67;;;;;
508;28;;;;;
509;62;;;;;
510;41;;;;;
511;66;;;;;
512;17;;;;;
513;67;;;;;
514;135;;;;;
515;68;;;;;
516;63;;;;;
517;27;;;;;
518;61;;;;;
519;41;;;;;
520;89;;;;;
521;65;;;;;
522;5;;;;;
523;16;;;;;
524;54;;;;;
525;50;;;;;
526;27;;;;;
527;21;;;;;
528;47;;;;;
529;20;;;;;
530;5;;;;;
531;26;;;;;
532;9;;;;;
533;3;;;;;
534;11;;;;;
535;15;;;;;
536;73;;;;;
537;1;;;;;
538;3;;;;;
539;2;;;;;
540;9;;;;;
541;173;;;;;
542;12;;;;;
543;38;;;;;
544;16;;;;;
545;1;;;;;
546;19;;;;;
547;16;;;;;
548;7;;;;;
549;62;;;;;
550;5;;;;;
551;12;;;;;
552;1;;;;;
553;25;;;;;
554;28;;;;;
555;12;;;;;
